# Percent growth of USA GDP
# https://data.worldbank.org/indicator/NY.GDP.MKTP.KD.ZG?locations=US
Year    Growth
2000	4.077585758
2001	0.955538346
2002	1.700447324
2003	2.795605966
2004	3.847771692
2005	3.483549938
2006	2.784539639
2007	2.003858298
2008	0.113587248
2009	-2.576500234
2010	2.695192584
2011	1.564406854
2012	2.289113388
2013	2.117830099
2014	2.523819814
2015	2.945550455
2016	1.819451475
2017	2.457622303
2018	2.966505069
2019	2.58382533
2020	-2.163029139
2021	6.055052933
2022	2.51237532
2023	2.887556009
